Date,High,Low,Close,Open,Volume
4/7/2017,287.39,273.11,273.3,282.19,687691000
3/7/2017,291.1,281.18,282.9,288.41,851408000
2/7/2017,295.51,262.52,287.99,275.12,1123330000
1/7/2017,293.75,268.62,274.6,293.35,1089200000
30/6/2017,315.17,288.44,294.92,303.15,1011800000
29/6/2017,330.71,297.37,302.88,328.37,1508580000
28/6/2017,333.1,276.41,327.93,293.04,2056550000
27/6/2017,293.09,227.14,293.09,272.69,1973870000
26/6/2017,311.46,238.65,272.69,302.96,2081810000
25/6/2017,332.79,284.65,303.25,323.47,1186880000
24/6/2017,343.62,322.09,323.7,341.63,673585000
23/6/2017,348.01,334.99,341.74,336.49,593207000
22/6/2017,342.03,330.62,336.37,337.73,925767000
21/6/2017,361.34,319.48,336.87,359.54,1420130000
20/6/2017,377.97,350.94,359.01,370.33,1020390000
